year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1885,2.3,5.3,4.1,7.2,8.4,13.5,15.7,13.4,11.8,7.0,5.4,3.1,3.78,6.55,14.21,8.08,8.11
1886,1.5,0.8,3.5,7.1,9.9,12.8,15.4,15.4,13.3,10.8,6.1,1.8,1.86,6.82,14.56,10.07,8.25
1887,1.7,3.5,3.4,6.0,9.0,14.9,16.9,15.1,11.3,6.8,4.3,2.5,2.29,6.13,15.66,7.46,7.97
1888,2.7,1.3,2.7,5.8,10.1,12.7,13.2,13.8,12.0,7.6,7.3,4.5,2.18,6.18,13.22,8.97,7.82
1889,2.6,2.5,4.2,6.6,12.1,14.9,14.6,14.3,12.3,8.3,6.3,2.8,3.21,7.66,14.61,8.99,8.50
1890,5.3,2.8,5.6,6.6,11.1,13.3,14.1,14.0,14.4,9.3,5.4,-1.0,3.64,7.82,13.82,9.68,8.45
1891,0.8,4.0,3.6,5.7,9.0,14.0,14.4,13.8,13.7,9.2,5.1,3.7,1.21,6.10,14.05,9.35,8.10
1892,1.7,2.9,2.3,6.9,10.9,12.7,13.6,14.8,11.9,6.7,6.1,1.7,2.76,6.68,13.71,8.20,7.68
1893,1.6,4.2,6.9,9.6,12.2,14.8,15.8,16.9,12.5,9.6,4.7,4.1,2.44,9.58,15.84,8.95,9.44
1894,2.7,4.4,6.1,9.1,8.7,13.1,15.3,14.0,11.3,8.9,7.3,4.6,3.70,7.96,14.17,9.16,8.82
1895,-0.3,-2.2,4.8,7.8,11.5,14.0,14.9,15.3,15.2,7.0,7.2,3.5,0.82,8.04,14.74,9.75,8.28
1896,4.2,4.0,6.4,8.4,11.3,15.5,15.9,13.9,12.7,6.8,4.0,3.4,3.87,8.70,15.12,7.83,8.89
1897,1.1,5.2,6.2,6.6,9.5,14.5,15.9,15.9,11.7,9.7,6.9,4.4,3.16,7.44,15.43,9.42,8.97
1898,5.8,4.2,3.8,7.7,10.0,13.0,14.8,16.0,14.8,11.0,6.7,6.6,4.80,7.19,14.63,10.85,9.58
1899,4.5,4.6,4.6,7.4,9.4,14.7,16.9,17.3,13.2,9.0,8.0,1.9,5.25,7.15,16.32,10.04,9.31
1900,3.8,2.2,3.2,7.7,9.7,14.1,17.2,14.8,13.3,9.3,6.7,6.6,2.62,6.87,15.39,9.75,9.09
1901,2.9,1.6,3.7,8.0,10.9,13.4,17.2,15.6,13.5,9.2,4.5,2.9,3.77,7.52,15.42,9.07,8.66
