year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1885,2.0,4.2,3.5,6.6,7.6,12.3,14.5,12.4,10.9,6.2,4.8,3.0,3.14,5.92,13.09,7.28,7.36
1886,1.1,0.8,2.9,6.3,8.8,11.9,14.2,14.1,12.0,9.9,5.7,1.2,1.68,6.01,13.42,9.20,7.45
1887,2.1,3.5,3.3,5.4,8.7,14.3,15.6,14.0,10.6,6.4,3.9,2.1,2.23,5.80,14.61,6.97,7.51
1888,2.8,1.1,2.1,5.3,9.2,11.8,12.3,12.8,11.2,7.6,6.5,4.3,2.03,5.56,12.31,8.43,7.28
1889,3.0,2.2,3.8,6.0,11.4,14.0,13.6,13.4,11.5,7.6,6.1,3.1,3.21,7.10,13.66,8.41,8.02
1890,4.8,2.7,5.1,6.2,10.5,12.4,13.0,13.1,13.6,8.9,5.0,-0.1,3.55,7.28,12.82,9.17,7.96
1891,1.3,4.4,2.9,5.1,8.2,13.2,13.7,13.0,12.8,8.4,4.6,3.5,1.76,5.42,13.31,8.59,7.60
1892,1.5,2.5,1.9,6.2,9.9,11.7,12.8,13.6,10.7,6.0,5.8,1.4,2.50,6.00,12.73,7.49,7.02
1893,1.6,3.6,6.2,8.9,11.5,14.1,14.8,15.8,11.6,8.7,4.1,4.1,2.16,8.86,14.88,8.17,8.78
1894,2.4,3.8,5.6,8.5,7.9,12.3,14.6,13.2,10.6,8.0,6.9,4.2,3.44,7.32,13.35,8.50,8.19
1895,-0.7,-2.3,4.2,7.1,10.9,13.1,13.7,14.3,14.2,6.2,6.1,3.0,0.51,7.41,13.73,8.83,7.55
1896,3.9,4.2,5.4,7.9,11.0,14.2,14.6,13.0,11.7,5.9,4.2,3.0,3.68,8.11,13.92,7.27,8.26
1897,0.9,4.5,5.2,5.8,8.6,13.3,14.9,14.9,10.9,9.1,6.6,3.9,2.72,6.54,14.38,8.87,8.23
1898,5.7,3.6,3.5,7.3,9.1,12.3,13.8,14.7,13.8,10.2,6.0,6.1,4.39,6.64,13.65,9.98,8.88
1899,3.4,4.0,4.2,6.5,8.5,14.0,15.5,16.3,12.0,8.6,7.8,1.8,4.52,6.42,15.29,9.43,8.57
1900,3.5,1.2,2.7,7.1,9.1,13.2,15.7,13.8,12.4,8.2,5.9,6.1,2.19,6.28,14.26,8.83,8.28
1901,2.9,1.6,3.4,7.2,10.4,12.3,16.3,14.4,12.8,8.3,4.5,2.5,3.56,6.99,14.37,8.51,8.08
1902,3.6,0.8,5.5,6.5,7.5,12.1,13.0,12.8,11.8,8.5,6.3,3.8,2.34,6.50,12.65,8.85,7.73
1903,3.0,5.7,5.5,5.4,9.6,11.6,13.6,12.8,11.8,9.1,5.5,2.5,4.13,6.84,12.68,8.79,8.02
1904,3.4,2.4,3.4,7.5,9.4,12.2,15.1,13.7,11.6,8.8,4.7,3.5,2.78,6.76,13.67,8.38,7.99
1905,3.4,4.1,5.6,6.0,9.7,13.5,15.6,13.4,11.3,6.4,4.3,4.7,3.63,7.11,14.18,7.33,8.19
1906,4.3,2.2,3.9,6.1,8.9,12.9,14.1,15.2,12.8,9.5,6.6,2.5,3.78,6.31,14.06,9.65,8.29
1907,3.0,2.1,5.4,6.5,9.1,11.1,13.0,12.8,12.5,8.7,5.6,3.8,2.56,7.00,12.32,8.93,7.83
1908,2.2,4.4,3.3,5.0,10.9,12.8,14.3,13.3,11.8,11.2,6.6,3.6,3.45,6.43,13.49,9.88,8.31
1909,2.9,2.7,2.5,7.3,9.5,11.0,13.3,14.1,10.9,9.0,4.0,2.6,3.10,6.41,12.83,7.99,7.52
1910,2.5,3.8,5.2,5.9,9.9,13.1,13.1,14.0,11.6,9.7,2.7,5.3,2.93,7.01,13.39,8.01,8.09
1911,3.3,3.8,4.2,6.5,11.4,13.0,16.0,16.3,12.5,8.2,5.0,5.1,4.15,7.35,15.14,8.57,8.81
1912,2.8,4.1,6.0,7.8,10.4,12.4,14.4,11.7,10.2,7.5,5.3,5.3,4.00,8.08,12.84,7.65,8.17
1913,3.4,3.9,4.8,6.7,10.0,12.7,13.5,14.0,12.6,9.9,7.2,4.1,4.23,7.17,13.40,9.90,8.59
1914,2.8,5.5,4.8,8.6,9.4,13.1,14.6,14.8,12.2,9.4,5.8,3.4,4.10,7.59,14.14,9.11,8.70
1915,3.0,3.1,4.2,6.8,9.3,12.8,13.4,14.1,12.2,8.2,2.6,3.8,3.15,6.75,13.41,7.67,7.81
1916,6.3,2.7,2.4,7.0,9.9,10.6,13.9,14.9,11.9,9.3,6.0,1.9,4.32,6.44,13.18,9.10,8.11
1917,1.1,1.0,2.4,4.3,10.8,13.2,14.6,14.4,12.7,6.5,6.9,1.9,1.34,5.84,14.09,8.68,7.52
