year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1885,79.4,117.9,63.4,65.3,81.2,57.0,38.8,64.2,145.8,135.4,93.1,72.3,323.2,209.9,160.0,374.4,1013.9
1886,125.6,42.0,85.5,62.0,112.6,40.5,99.5,59.1,93.0,127.6,108.0,139.8,239.8,260.0,199.1,328.5,1095.0
1887,91.5,53.3,50.9,50.4,49.1,25.6,63.4,68.1,98.2,74.7,93.8,87.5,284.6,150.4,157.1,266.7,806.5
1888,62.1,42.4,95.2,60.2,57.6,74.1,142.2,90.5,40.7,73.9,165.0,90.2,192.0,213.0,306.9,279.7,994.2
1889,63.0,80.3,78.1,83.3,77.3,24.7,75.7,125.6,61.3,116.5,58.8,86.9,233.5,238.8,226.0,236.5,931.5
1890,146.0,29.9,83.6,47.0,60.5,89.6,97.2,106.0,69.2,95.0,150.3,37.8,262.8,191.1,292.8,314.5,1012.1
1891,79.3,24.2,72.0,45.4,78.3,53.4,87.2,156.3,101.0,157.2,101.9,153.6,141.3,195.7,296.9,360.1,1109.8
1892,83.3,63.6,33.4,37.7,82.8,84.4,72.0,123.1,110.0,138.1,88.4,61.6,300.5,153.9,279.4,336.6,978.4
1893,68.3,117.6,34.8,22.9,49.6,44.9,96.5,86.8,84.8,116.5,90.9,127.5,247.5,107.4,228.1,292.2,941.1
1894,118.3,141.2,75.5,50.8,77.9,71.6,103.2,105.3,32.4,108.1,118.6,99.7,387.0,204.2,280.2,259.1,1102.7
1895,92.3,17.7,91.7,64.0,21.7,48.5,119.1,114.9,40.5,117.7,127.1,105.8,209.7,177.4,282.6,285.4,961.2
1896,59.1,43.5,117.9,47.9,18.8,81.8,81.0,75.5,150.6,124.1,46.6,142.1,208.4,184.5,238.3,321.2,988.7
1897,55.6,86.8,129.7,69.2,51.1,91.4,51.8,121.3,100.6,58.6,82.5,138.5,284.5,250.0,264.6,241.6,1037.1
1898,68.5,88.9,55.4,79.6,86.3,64.4,34.7,104.5,67.2,118.9,110.2,143.0,296.0,221.2,203.6,296.3,1021.6
1899,131.5,76.3,63.8,98.9,78.3,47.8,67.0,41.1,116.0,90.2,110.6,96.7,350.8,241.0,155.9,316.8,1018.3
1900,131.3,114.3,33.9,63.1,64.9,85.5,71.7,120.3,64.2,125.5,112.2,163.7,342.4,161.9,277.5,301.9,1150.6
1901,71.6,52.5,78.1,77.3,39.7,69.3,61.3,89.8,65.7,96.3,85.1,140.5,287.7,195.1,220.4,247.2,927.3
1902,70.5,44.3,73.2,55.3,79.4,65.7,70.0,87.1,64.5,84.7,83.4,104.2,255.4,207.9,222.8,232.6,882.3
1903,131.9,108.5,147.8,59.8,78.7,67.1,113.8,146.2,101.7,220.0,88.4,82.0,344.5,286.2,327.1,410.1,1345.9
1904,108.6,109.6,59.3,85.4,76.0,46.3,71.2,106.3,73.0,58.8,73.7,95.8,300.2,220.7,223.7,205.5,963.8
1905,61.9,65.1,117.8,76.0,38.0,65.7,52.2,118.1,72.0,83.4,123.2,57.9,222.8,231.8,236.0,278.6,931.4
1906,143.0,88.0,73.9,44.5,102.0,51.1,55.3,94.5,42.7,153.7,122.5,99.2,288.9,220.3,201.0,318.9,1070.4
1907,62.4,70.8,72.2,78.1,94.0,112.0,67.9,101.3,29.2,146.4,88.3,119.9,232.4,244.3,281.2,263.9,1042.6
1908,82.5,78.0,113.4,69.8,65.5,53.0,85.1,96.5,108.2,53.0,76.4,95.9,280.5,248.7,234.6,237.6,977.4
1909,79.6,44.1,97.5,80.3,56.6,72.7,101.6,78.5,72.0,160.1,57.6,134.8,219.6,234.4,252.8,289.7,1035.4
1910,109.2,122.9,49.5,93.4,70.0,68.3,95.6,138.7,26.8,87.3,126.7,139.8,366.9,212.9,302.6,240.7,1128.1
1911,58.4,97.8,61.7,69.0,51.8,77.7,43.6,68.9,68.4,90.8,139.3,183.2,296.0,182.5,190.2,298.6,1010.7
1912,109.3,78.1,126.4,35.0,57.8,123.7,91.1,166.8,56.2,113.4,103.4,157.4,370.5,219.2,381.6,273.0,1218.5
1913,121.5,57.0,128.0,102.2,80.9,63.4,32.7,43.9,72.2,101.0,123.7,84.4,336.0,311.1,140.1,296.8,1010.9
1914,76.7,113.9,123.0,52.7,59.0,52.0,92.1,80.1,57.1,62.1,135.9,196.8,275.0,234.6,224.2,255.2,1101.5
1915,115.2,139.0,53.9,63.5,51.8,35.6,122.3,80.1,53.5,73.2,81.3,179.6,451.1,169.2,238.1,208.0,1049.1
1916,107.3,134.4,86.4,69.4,91.2,72.0,71.5,89.7,55.2,167.8,128.9,104.8,421.3,247.0,233.3,351.8,1178.6
1917,71.8,33.8,70.8,62.0,67.3,71.2,59.6,166.8,75.3,164.5,118.1,60.3,210.4,200.1,297.5,357.8,1021.3
1918,101.3,103.6,42.0,49.3,62.6,43.0,119.0,83.7,178.0,105.2,94.1,130.3,265.2,153.9,245.8,377.2,1112.2
1919,117.1,58.5,113.8,80.9,29.2,64.7,49.5,90.4,81.5,69.3,98.8,161.7,305.9,223.9,204.6,249.6,1015.5
1920,137.6,93.8,106.7,106.8,94.5,57.4,123.1,70.6,76.5,75.1,81.6,104.4,393.1,307.9,251.1,233.1,1127.9
1921,148.3,24.1,102.0,38.0,62.6,18.3,58.4,108.2,52.7,81.1,71.1,127.1,276.8,202.6,185.0,204.9,891.9
1922,119.7,110.5,70.8,85.3,61.7,51.8,116.7,98.3,79.4,46.5,65.2,125.8,357.3,217.8,266.8,191.1,1031.7
1923,102.8,151.6,50.4,77.5,78.2,36.0,88.3,128.0,110.6,156.7,110.0,113.6,380.2,206.0,252.2,377.2,1203.5
1924,102.1,39.4,36.0,75.4,119.8,71.4,120.9,113.2,132.0,118.7,81.6,152.0,255.1,231.2,305.5,332.3,1162.6
1925,100.3,133.8,50.3,93.4,118.2,14.1,73.4,86.1,102.3,111.3,64.9,109.1,386.2,261.9,173.6,278.5,1057.2
1926,137.5,93.3,59.1,69.3,74.5,78.1,79.6,86.5,77.9,113.9,162.7,51.0,339.9,203.0,244.2,354.5,1083.5
1927,124.2,74.0,91.9,81.6,50.3,106.7,96.3,132.3,152.8,108.6,116.3,64.0,249.2,223.9,335.2,377.7,1198.9
1928,197.8,102.4,94.3,47.4,40.1,110.3,69.9,110.4,59.3,157.9,145.7,104.8,364.2,181.8,290.6,362.9,1240.3
1929,48.6,37.4,16.3,40.3,69.3,61.1,79.0,107.7,45.7,148.2,185.6,209.3,190.8,125.9,247.8,379.5,1048.6
1930,148.4,24.8,70.2,66.6,59.7,53.2,102.0,140.4,111.5,136.3,141.3,113.3,382.5,196.4,295.5,389.1,1167.6
1931,106.1,99.8,28.0,86.8,95.4,111.0,116.0,98.1,65.0,63.5,154.4,82.1,319.2,210.1,325.2,282.9,1106.2
1932,135.5,9.5,70.1,99.6,107.0,35.7,109.1,58.0,108.3,167.3,87.7,98.6,227.2,276.7,202.8,363.4,1086.5
1933,95.1,104.2,72.8,53.8,54.0,61.3,77.8,58.0,47.2,116.5,57.1,33.4,298.0,180.6,197.1,220.8,831.3
1934,114.2,23.3,80.5,96.1,64.4,49.0,66.1,103.6,100.3,129.9,58.0,177.3,170.9,241.0,218.8,288.2,1062.8
