Vineyard Name,Vineyard County,Vineyard Postcode,Vineyard Country,Website Address,Ha of planted vines,Latitude,Longitude,,,,,,,,,,,,
Abberley Hills Vineyard,Worcestershire,WR6 6JP,England,www.abberleyhillsvineyard.co.uk,0.2,52.29338,-2.3591,,,,,,,,,,,,
Abbey Vineyards - Amersham Vineyard (Magpie Lane),Buckinghamshire,HP7 0LU,England,www.abbeyvineyards.co.uk,4.3,51.63928,-0.62419,,,,,,,,,,,,
Abbey Vineyards - Granby Vineyard,Nottinghamshire,NG13 9PU,England,www.abbeyvineyards.co.uk,1.25,52.91806,-0.88631,,,,,,,,,,,,
Abbey Vineyards - Lyndon Top Vineyard (Rutland Water),Rutland,LE15 8RN,England,www.abbeyvineyards.co.uk,1.6194,52.63719,-0.67749,,,,,,,,,,,,
Abbey Vineyards - Old Oak Vineyard (Preston),Rutland,LE15 9NP,England,www.abbeyvineyards.co.uk,1.5,52.61107,-0.71459,,,,,,,,,,,,
Abbey Vineyards - Windy Ridge Vineyard (East Bridgeford),Nottinghamshire,NG13 8LP,England,www.abbeyvineyards.co.uk,3,52.99624,-0.94983,,,,,,,,,,,,
a'Beckett's Vineyard,Wiltshire,SN10 4EN,England,www.abecketts.co.uk,3.58,51.2889,-2.00491,,,,,,,,,,,,
Absent Friends Allotment Vines,Cambridgeshire,CB22 5BT,England,Not Available,0.017,52.14392,0.1544,,,,,,,,,,,,
Acomb Grange Vineyard,North Yorkshire,YO23 3QZ,England,www.acombgrange.co.uk,0.0336,53.94931,-1.14372,,,,,,,,,,,,
Adderstone Vineyard,Northumberland,NE70 7HS,England,Not Available,0.0999,55.57603,-1.78691,,,,,,,,,,,,
Adgestone Vineyard,Isle of Wight,PO36 0ES,England,www.adgestonevineyard.co.uk,3.5087,50.67592,-1.15552,,,,,,,,,,,,
Alara Wholefoods Vineyard,London,NW1 0PF,England,www.alara.co.uk,0.035,51.539476,-0.131169,,,,,,,,,,,,
Albourne Estate,West Sussex,BN6 9DX,England,www.albourneestate.co.uk,12.2,50.92671,-0.22399,,,,,,,,,,,,
Albourne Vineyard,West Sussex,BN6 9BX,England,twitter.com/albournevineyrd,0.29,50.9332,-0.20092,,,,,,,,,,,,
Albury Organic Vineyard,Surrey,GU5 9BW,England,www.alburyvineyard.com,4.9487,51.22548,-0.48352,,,,,,,,,,,,
Alder Ridge Vineyard,Berkshire,RG17 0SP,England,www.cobbsfarmshop.co.uk,2.9008,51.4124,-1.54862,,,,,,,,,,,,
Alder Vineyard,Devon,EX20 4PJ,England,aldervineyard.uk,1.469,50.664,-4.16272,,,,,,,,,,,,
Aldwick Estate,North Somerset,BS40 5AL,England,www.aldwickestate.co.uk,4.59,51.34529,-2.72668,,,,,,,,,,,,
Alexandra Road Allotments Vineyard,Surrey,KT17 4EQ,England,alexallotment.wordpress.com/vineyard,0.01,51.33234,-0.25657,,,,,,,,,,,,
Althorne Estate Vineyard,Essex,CM3 6EW,England,Not Available,1.4164,51.65723,0.79575,,,,,,,,,,,,
Amber Valley Wines - Doehole,Derbyshire,DE55 6ED,England,www.ambervalleywines.co.uk,0.64,53.12624,-1.46529,,,,,,,,,,,,
Ancre Hill Vineyard - Newton Court Vineyard,Monmouthshire,NP25 3SP,Wales,www.ancrehillestates.co.uk,8.5776,51.82663,-2.69531,,,,,,,,,,,,
Ancre Hill Vineyard - Rockfield Road Vineyard,Monmouthshire,NP25 5HS,Wales,www.ancrehillestates.co.uk,3.4224,51.82017,-2.73128,,,,,,,,,,,,
"Annevilles, Les",Guernsey,GY7 9JR,Channel Isles,Not Available,0.5,49.454731,2.637365,,,,,,,,,,,,
Artelium Wine Estate (Ditchling),East Sussex,BN6 8SA,England,Not Available,7.0821,50.93505,-0.0764,,,,,,,,,,,,
Artelium Wine Estate (Madehurst),West Sussex,BN18 0NJ,England,Not Available,10.6,50.87935,-0.60344,,,,,,,,,,,,
Ashby Valley,Norfolk,NR14 7BW,England,Not Available,0.739,52.56208,1.43491,,,,,,,,,,,,
Ashcot Vineyard,Devon,EX14 9SY,England,Not Available,4.6,50.80458,-3.12674,,,,,,,,,,,,
Ashleworth Manor Vineyard,Gloucestershire,GL19 4LA,England,Not Available,0.08,51.92923,-2.26598,,,,,,,,,,,,
Ashling Park Vineyard,West Sussex,PO18 8DP,England,www.ashlingpark.co.uk,5.25,50.86074,-0.84929,,,,,,,,,,,,
Ashling Park Vineyard - Coldharbour Vineyard,West Sussex,RH20 1PR,England,Not Available,8.33,50.91685,-0.61572,,,,,,,,,,,,
Ashwell Vineyard,Devon,TQ13 9EJ,England,Not Available,0.1,50.59501,-3.67066,,,,,,,,,,,,
Astley Vineyards,Worcestershire,DY13 0RU,England,www.astleyvineyard.co.uk,2,52.30376,-2.28998,,,,,,,,,,,,
Aunemouth Vineyard,Devon,TQ7 3AD,England,Not Available,0.2,50.28349,-3.85572,,,,,,,,,,,,
Avalon Vineyard,Somerset,BA4 6UA,England,www.pennardorganicwines.co.uk,0.62,51.13401,-2.58955,,,,,,,,,,,,
Avonleigh Orchards,Wiltshire,BA15 2RD,England,Not Available,1.8,51.35609,-2.24236,,,,,,,,,,,,
Avonwood Vineyard,"Bristol, City of",BS9 1PH,England,Not Available,0.2,51.47191,-2.63724,,,,,,,,,,,,
Babu's Vineyard,Norfolk,NR9 5LF,England,www.Babusvineyard.co.uk,0.24,52.6982,1.10923,,,,,,,,,,,,
Bailey Hills Vineyard,Hertfordshire,CM23 1JG,England,Not Available,1.3306,51.88645,0.14067,,,,,,,,,,,,
Ballydrehid House Estate Vineyard,County Tipperary,Ireland,Ireland,Not Available,Not known,52.404098,-7.94711,,,,,,,,,,,,
Bardfield Vineyard,Essex,CM7 4QD,England,www.greatlodge.co.uk,0.74,51.93418,0.46308,,,,,,,,,,,,
Bardingley Vineyard,Kent,TN12 0EG,England,www.bardingley.com,0.45,51.18547,0.57999,,,,,,,,,,,,
