year,Annual Average Temperature UK,Annual Average Temperature South East England
1884,8.48,9.87
1885,7.36,8.81
1886,7.45,8.9
1887,7.51,8.33
1888,7.28,8.29
1889,8.02,8.99
1890,7.96,8.85
1891,7.6,8.67
1892,7.02,8.4
1893,8.78,10
1894,8.19,9.51
1895,7.55,8.94
1896,8.26,9.43
1897,8.23,9.66
1898,8.88,10.23
1899,8.57,10.07
1900,8.28,9.73
1901,8.08,9.08
1902,7.73,8.97
1903,8.02,9.48
1904,7.99,9.27
1905,8.19,9.27
1906,8.29,9.54
1907,7.83,9.11
1908,8.31,9.32
1909,7.52,8.66
1910,8.09,9.38
1911,8.81,10.22
1912,8.17,9.59
1913,8.59,10
1914,8.7,9.97
1915,7.81,9.17
1916,8.11,9.39
1917,7.52,8.63
1918,8.33,9.67
1919,7.42,8.69
1920,8.45,9.78
1921,9.24,10.73
1922,7.63,8.93
1923,7.97,9.36
1924,8.19,9.43
1925,8.12,9.4
1926,8.59,9.88
1927,8.07,9.37
1928,8.35,9.84
1929,7.98,9.25
1930,8.29,9.81
1931,7.98,9.14
1932,8.35,9.47
1933,8.82,9.88
1934,8.87,10.08
1935,8.52,9.91
1936,8.26,9.49
1937,8.33,9.84
1938,8.92,10.1
1939,8.57,9.76
1940,8.01,9.2
1941,7.96,9.17
1942,8.03,9.19
1943,8.88,10.21
1944,8.44,9.61
1945,9.13,10.31
1946,8.35,9.47
1947,8.37,9.8
1948,8.81,10.2
1949,9.34,10.73
1950,8.3,9.73
1951,8.11,9.61
1952,7.99,9.36
1953,8.91,9.94
1954,8.13,9.43
1955,8.23,9.42
1956,7.9,8.95
1957,8.84,10.28
1958,8.25,9.65
1959,9.24,10.59
1960,8.54,9.83
1961,8.67,10.23
1962,7.56,8.62
1963,7.4,8.39
1964,8.31,9.52
1965,7.75,9.06
1966,8.19,9.71
1967,8.47,9.81
1968,8.16,9.42
1969,8.12,9.62
1970,8.31,9.71
1971,8.73,9.83
1972,8.1,9.4
1973,8.43,9.75
1974,8.38,9.74
1975,8.77,9.98
1976,8.74,10.2
1977,8.27,9.69
1978,8.23,9.55
1979,7.59,9.03
1980,8.26,9.48
1981,8.1,9.47
1982,8.66,10.16
1983,8.83,10.32
1984,8.57,9.96
1985,7.78,9.1
1986,7.67,9.02
1987,7.99,9.37
1988,8.73,10.06
1989,9.23,11.01
1990,9.38,10.93
1991,8.54,9.71
1992,8.69,10.15
1993,8.33,9.86
1994,8.89,10.68
1995,9.17,10.86
1996,8.18,9.4
1997,9.41,10.76
1998,9.16,10.64
1999,9.37,10.89
2000,9.1,10.6
2001,8.8,10.34
2002,9.44,11.03
2003,9.47,10.85
2004,9.44,10.76
2005,9.42,10.69
2006,9.7,11.24
2007,9.56,10.96
2008,9.02,10.42
2009,9.14,10.56
2010,7.94,9.37
2011,9.61,11.17
2012,8.74,10.23
2013,8.74,9.98
2014,9.88,11.49
2015,9.18,10.92
2016,9.29,10.79
2017,9.53,11.02
2018,9.45,11.18
2019,9.39,10.86
2020,9.62,11.4
2021,9.28,10.59
